"","prediction_date","actual_start","actual_end","week_start","week_end","lag","period","rmse_pred_Basic","rmse_pred_HLAGC","rmse_pred_HLAGOO","rmse_pred_HLAGELEM","rmse_pred_week_means","best_method"
"1",18946,18574,18939,18933,18939,20,7,1.37374922620734,1.07067996287657,1.29417380322562,1.32158261192653,2.00441373682576,"HLAGC"
"2",18947,18575,18940,18934,18940,20,7,1.01855949313109,0.937611824590759,1.11534710645726,1.01063434623813,1.5682579964987,"HLAGC"
"3",18948,18576,18941,18935,18941,20,7,0.877164809458422,0.809758580358388,0.917258602632252,0.81968269393384,1.54629868099956,"HLAGC"
"4",18949,18577,18942,18936,18942,20,7,2.62223740945037,2.58100850364644,1.60885178311122,1.54256878661546,2.05567703435269,"HLAGELEM"
"5",18950,18578,18943,18937,18943,20,7,1.58861016740841,1.56699880093088,1.43505429709251,1.57791993547674,2.12466438396656,"HLAGOO"
"6",18951,18579,18944,18938,18944,20,7,1.55493458587044,1.64578149998449,3.21054454218212,2.58181617550599,3.25181429426707,"Basic"
"7",18952,18580,18945,18939,18945,20,7,1.21962020494475,1.21714015577962,2.76336709884202,2.15376884368416,3.12465492583389,"HLAGC"
