"","prediction_date","actual_start","actual_end","week_start","week_end","lag","period","rmse_pred_Basic","rmse_pred_HLAGC","rmse_pred_HLAGOO","rmse_pred_HLAGELEM","rmse_pred_week_means","best_method"
"1",18907,18535,18900,18894,18900,20,7,0.973678514924682,0.385885986773664,0.797376179040354,0.657759555423609,0.415924186439152,"HLAGC"
"2",18908,18536,18901,18895,18901,20,7,0.535633337249137,0.463043599498009,0.765750710991683,0.663654307131825,0.492523814382615,"HLAGC"
"3",18909,18537,18902,18896,18902,20,7,0.66509035738865,0.765537961528219,1.2356556619197,0.830136620576275,0.951136277651685,"Basic"
"4",18910,18538,18903,18897,18903,20,7,0.641917043379244,0.711365688943172,1.24070194406999,0.807783025642311,1.02208033920137,"Basic"
"5",18911,18539,18904,18898,18904,20,7,0.582867349023796,0.527777139595385,0.794244008817207,0.70275989515678,0.732646777873476,"HLAGC"
"6",18912,18540,18905,18899,18905,20,7,0.541134989697034,0.485170920489971,0.759239646227427,0.658149563726902,0.567393021208475,"HLAGC"
"7",18913,18541,18906,18900,18906,20,7,0.515762681651452,0.450082488095002,0.782250571920634,0.6634185654473,0.456000368005786,"HLAGC"
"8",18914,18542,18907,18901,18907,20,7,0.433087094728946,0.339348201927953,0.72220631128881,0.562774566484862,0.411921212489557,"HLAGC"
