"","prediction_date","actual_start","actual_end","week_start","week_end","lag","period","rmse_pred_Basic","rmse_pred_HLAGC","rmse_pred_HLAGOO","rmse_pred_HLAGELEM","rmse_pred_week_means","best_method"
"1",18922,18550,18915,18909,18915,15,7,1.30315622979339,1.26018549732756,1.38539199829349,1.33764257941741,1.2850938588565,"HLAGC"
"2",18923,18551,18916,18910,18916,15,7,4.58180631102916,4.45215396941974,4.47180118592521,4.41972409775042,4.71912132830944,"HLAGELEM"
"3",18924,18552,18917,18911,18917,15,7,4.27278603215004,4.12454869198824,4.22872079732072,4.13997228542899,4.49170856887504,"HLAGC"
"4",18925,18553,18918,18912,18918,15,7,1.63900360337724,1.58075428645829,1.778738076232,1.73703546409919,1.42329472500767,"week_means"
"5",18926,18554,18919,18913,18919,15,7,1.57541697785997,1.56348100979922,1.59029831809156,1.61599397766393,1.66114585822062,"HLAGC"
"6",18927,18555,18920,18914,18920,15,7,1.23828645589655,1.22898617000462,1.38855382813332,1.26411486315528,1.30643050329538,"HLAGC"
"7",18928,18556,18921,18915,18921,15,7,1.95501880154667,1.87588687984925,1.89754269133061,1.92335670063488,1.93373571480673,"HLAGC"
"8",18929,18557,18922,18916,18922,15,7,1.15498679919607,1.08350493912215,1.2888468850645,1.25177091992855,1.07113664589934,"week_means"
"9",18930,18558,18923,18917,18923,15,7,2.9091513690886,2.7753887450427,3.36620437117822,2.94580886529409,3.98386817423669,"HLAGC"
"10",18931,18559,18924,18918,18924,15,7,2.51863120982673,2.55295067197868,3.34532603601404,2.85297093105323,3.33946434983238,"Basic"
