"","prediction_date","actual_start","actual_end","week_start","week_end","lag","period","rmse_pred_Basic","rmse_pred_HLAGC","rmse_pred_HLAGOO","rmse_pred_HLAGELEM","rmse_pred_week_means","best_method"
"1",18953,18581,18946,18940,18946,10,7,1.22784202711398,1.15032150519111,1.44054788710905,1.27802078145014,2.30388472121723,"HLAGC"
"2",18954,18582,18947,18941,18947,10,7,0.705449477733046,0.561102116757496,0.892285304219452,0.76145593766382,1.77450326604735,"HLAGC"
"3",18955,18583,18948,18942,18948,10,7,1.21709699206059,1.17537705238602,1.34878140959515,1.27099689838637,2.02184879617155,"HLAGC"
"4",18956,18584,18949,18943,18949,10,7,2.89872742423985,3.03185413303442,2.96003009760584,2.97593345781105,2.67631271334878,"week_means"
"5",18957,18585,18950,18944,18950,10,7,1.59356923368134,1.59864714851014,1.70902868812296,1.61748875533826,1.76604706875563,"Basic"
"6",18958,18586,18951,18945,18951,10,7,2.98311183514955,2.94876098676908,2.49456802519393,2.5923368040131,2.72565611653645,"HLAGOO"
"7",18959,18587,18952,18946,18952,10,7,3.00987632203133,2.85778567502699,2.34685028186462,2.49946100883414,2.67548183840616,"HLAGOO"
"8",18960,18588,18953,18947,18953,10,7,0.936502404601215,0.82431709528466,1.03272326897019,1.00883521141802,1.5564331900684,"HLAGC"
"9",18961,18589,18954,18948,18954,10,7,0.832608171143993,0.756244569068811,1.04867725110174,0.923884332536071,1.60579945436971,"HLAGC"
