"date","state","actual","pred_Basic","pred_HLAGC","pred_HLAGOO","pred_HLAGELEM","pred_week_means","week_start","week_end","diff_pred_Basic","diff_pred_HLAGC","diff_pred_HLAGOO","diff_pred_HLAGELEM","diff_pred_week_means"
2021-11-10,"AK",6.10702288774225,5.60316829443052,5.64286018396386,5.3172077838296,5.44332665489609,4.76987658028697,2021-10-28,2021-11-03,0.253869451201325,0.215447015578864,0.623807898368553,0.440492689494188,1.78796024754129
2021-11-10,"AL",7.10987946307227,6.60905187515769,6.52322351768391,6.9398329155119,6.72576821627171,6.34569070930658,2021-10-28,2021-11-03,0.250828272816338,0.344165198259507,0.0289158283372007,0.147541449918678,0.583984451381958
2021-11-10,"AR",6.51619307604296,6.17677321404706,6.13120997411457,6.38223921286596,6.11966010229421,5.97077566048718,2021-10-28,2021-11-03,0.115205842717316,0.148211988770403,0.0179436374600417,0.157238399270026,0.297480157191546
2021-11-10,"AS",0,0.00892711750097738,0.00892711750097738,0.00892711750097738,0.00892711750097738,0,2021-10-28,2021-11-03,7.96934268762565e-05,7.96934268762565e-05,7.96934268762565e-05,7.96934268762565e-05,0
2021-11-10,"AZ",8.24143968982973,6.83924253422507,7.11271421541777,7.36288103425921,7.15254137707124,7.8786113408463,2021-10-28,2021-11-03,1.9661568631858,1.2740211965865,0.771865311277884,1.1856995355283,0.131644410826042
2021-11-10,"CA",8.22067217029725,7.73913834911753,7.73361729783738,8.23319510961204,7.96095876694382,6.33265948975409,2021-10-28,2021-11-03,0.231874820939946,0.237222448786901,0.000156824009081871,0.0674510518814202,3.56459188189177
2021-11-10,"CO",8.39750834847026,7.54205835705203,7.47494211747677,7.23127538305922,7.41616119846353,7.95276982854436,2021-10-28,2021-11-03,0.73179468781745,0.851128450569528,1.36009932961142,0.963042228826342,0.197792351105881
2021-11-10,"CT",6.2803958389602,6.05714907949085,5.78505120915825,6.1550984885405,6.42141865096275,4.40966525803928,2021-10-28,2021-11-03,0.0498391156135667,0.245366302273635,0.0156994260221967,0.0198874335051076,3.49963290639272
2021-11-10,"DC",4.18965474202643,3.83052188182145,3.78906602738557,4.47629190775805,4.25673876485584,3.35938440513089,2021-10-28,2021-11-03,0.128976411279007,0.160471318297617,0.0821608647786568,0.00450026611897726,0.689348832328633
2021-11-10,"DE",5.5834963087817,4.92341287944319,5.01455904889421,5.44842494542112,5.35690222215755,5.4712439334126,2021-10-28,2021-11-03,0.43571013368729,0.323689605688282,0.0182442732000853,0.0513448800930316,0.0126005957760053
2021-11-10,"FL",7.86748856869913,8.19559924850724,7.84747211200411,8.61808099221848,8.39574922734006,7.37963303344059,2021-10-28,2021-11-03,0.107656618204138,0.000400658538623524,0.563388986244647,0.279059323467751,0.238003023282397
2021-11-10,"FSM",0,0.00584112792606695,0.00584112792606695,0.00584112792606695,0.00584112792606695,0,2021-10-28,2021-11-03,3.41187754486792e-05,3.41187754486792e-05,3.41187754486792e-05,3.41187754486792e-05,0
2021-11-10,"GA",6.95939851213398,6.78967095685423,7.18506958428251,7.57292263577754,7.22854714979109,5.17515888478446,2021-10-28,2021-11-03,0.0288074430212403,0.050927432804669,0.376411850292604,0.0724409891526767,3.18351104780435
2021-11-10,"GU",3.3322045101752,2.67694340589805,3.52976799574518,2.52099481828598,2.67273841094982,3.65755472248348,2021-10-28,2021-11-03,0.429367114778512,0.0390313308305605,0.658061164215,0.434895536027536,0.105852760649043
2021-11-10,"HI",4.85981240436167,3.75550188544123,4.02016728935481,4.69700170112272,4.0878361489931,4.64927467529286,2021-10-28,2021-11-03,1.21950172219832,0.705003919154888,0.0265073250891623,0.595947338852877,0.0443261353614517
2021-11-10,"IA",7.08673793451058,5.70453343369742,5.63493343016207,6.30878085372548,6.22755368402341,4.20076666080458,2021-10-28,2021-11-03,1.91048928206815,2.10773631884662,0.605217219543679,0.738197576285209,8.32883019265624
2021-11-10,"ID",6.58617165485467,6.76420010343988,6.37735175602902,5.90701886116923,6.50788720902956,6.39123421798433,2021-10-28,2021-11-03,0.0316941285056559,0.0436057501455541,0.461248517170744,0.00612845445814392,0.0380006042935779
2021-11-10,"IL",8.52615293278771,7.9904736575153,7.69237330132168,7.67016815614571,7.64399675240568,5.67263123609689,2021-10-28,2021-11-03,0.286952285956373,0.695188473847634,0.732709937842861,0.778199526586216,8.14258607348526
2021-11-10,"IN",7.94093976232779,7.21451430964175,7.38011162080067,7.24692576939299,7.21296384422223,5.47074213572497,2021-10-28,2021-11-03,0.527693938310118,0.314528204328768,0.4816554223893,0.529948937341632,6.1018763144742
2021-11-10,"KS",7.95787735848981,6.79442425127722,6.41997422518167,5.8222857165675,7.15614349454821,3.20632158414757,2021-10-28,2021-11-03,1.35362313268264,2.365146047439,4.56075166104842,0.64277718859073,22.5772822766851
2021-11-10,"KY",7.44716835960004,6.66317103411607,6.78477013070718,6.99373475072228,6.9538608476368,6.87675095103199,2021-10-28,2021-11-03,0.614651806366014,0.438771413640399,0.205602037659914,0.243352301359358,0.325376019997489
2021-11-10,"LA",6.20657592672493,5.90288650382945,5.98558939302814,6.47968957489909,6.38064377477926,4.37573524938336,2021-10-28,2021-11-03,0.0922272655785918,0.048835048075324,0.0745910648189974,0.0302996157262637,3.35197758580854
2021-11-10,"MA",7.57507169950756,7.07089253503916,7.15089756735805,6.98796351182363,6.94084333210955,5.30633687410508,2021-10-28,2021-11-03,0.254196629884057,0.179923694384791,0.344696024045504,0.402245622012343,5.14715770799402
