"","prediction_date","actual_start","actual_end","week_start","week_end","lag","period","rmse_pred_Basic","rmse_pred_HLAGC","rmse_pred_HLAGOO","rmse_pred_HLAGELEM","rmse_pred_week_means","best_method"
"1",18922,18550,18915,18909,18915,5,7,1.31582529913403,1.27709816153554,1.37977754927858,1.35140866179662,1.2850938588565,"HLAGC"
"2",18923,18551,18916,18910,18916,5,7,4.5371897639132,4.47069625527523,4.4771222912887,4.49610489179195,4.71912132830944,"HLAGC"
"3",18924,18552,18917,18911,18917,5,7,4.25445576602436,4.19447128888525,4.24288170063991,4.27258029467817,4.49170856887504,"HLAGC"
"4",18925,18553,18918,18912,18918,5,7,1.63622165385139,1.55735886124324,1.78251350174991,1.72179216491572,1.42329472500767,"week_means"
"5",18926,18554,18919,18913,18919,5,7,1.59117486538356,1.55650898944802,1.57092515554224,1.60457413041447,1.66114585822062,"HLAGC"
"6",18927,18555,18920,18914,18920,5,7,1.28747488654454,1.24160676223877,1.41905217101906,1.28982619366324,1.30643050329538,"HLAGC"
"7",18928,18556,18921,18915,18921,5,7,1.91315714582961,1.86993388761024,1.88001559804442,1.9175395792662,1.93373571480673,"HLAGC"
"8",18929,18557,18922,18916,18922,5,7,1.32007922575647,1.16379256847279,1.29785686790725,1.33846905329345,1.07113664589934,"week_means"
"9",18930,18558,18923,18917,18923,5,7,3.05790955934936,2.69051628889388,3.366370904289,3.02194539459283,3.98386817423669,"HLAGC"
"10",18931,18559,18924,18918,18924,5,7,2.77956548407233,2.78710848603231,3.37251927086208,3.00552920272588,3.33946434983238,"Basic"
