"","prediction_date","actual_start","actual_end","week_start","week_end","lag","period","rmse_pred_Basic","rmse_pred_HLAGC","rmse_pred_HLAGOO","rmse_pred_HLAGELEM","rmse_pred_week_means","best_method"
"1",18932,18560,18925,18919,18925,10,7,2.26809067221541,1.74324678937591,1.269253614922,1.45528904559059,1.94678504600192,"HLAGOO"
"2",18933,18561,18926,18920,18926,10,7,1.25803825759778,1.29596415664422,1.28585304006578,1.11752454831951,1.62139851713868,"HLAGELEM"
"3",18934,18562,18927,18921,18927,10,7,1.03775551698473,0.744788771265987,0.844745378368234,0.694923309715446,1.5825895228863,"HLAGELEM"
"4",18935,18563,18928,18922,18928,10,7,1.48913975700272,1.46376766911137,1.32690531638251,1.57615380572303,1.77835917885036,"HLAGOO"
"5",18936,18564,18929,18923,18929,10,7,1.1287863589264,1.01860415995745,1.1045083424946,1.04165178371187,1.81507777354118,"HLAGC"
"6",18937,18565,18930,18924,18930,10,7,2.13829613310605,1.88139530260943,3.57839922876801,2.91067676680659,3.29491809121458,"HLAGC"
"7",18938,18566,18931,18925,18931,10,7,1.69071708477856,1.53957967960349,3.40466025861684,2.55997701950989,3.30461383456437,"HLAGC"
"8",18939,18567,18932,18926,18932,10,7,1.58312836632148,1.35775205952654,1.51382082842803,1.55468208899565,2.13723551672328,"HLAGC"
"9",18940,18568,18933,18927,18933,10,7,1.17615973679006,1.07876685492909,0.981468818382577,1.23553401767045,1.59199990510958,"HLAGOO"
"10",18941,18569,18934,18928,18934,10,7,1.16896471182403,1.14295238049485,1.23267307881433,1.13654119232262,1.85537374178488,"HLAGELEM"
"11",18942,18570,18935,18929,18935,10,7,3.44628930948889,3.45724384364003,3.50635851892662,3.47207829164361,2.92593549289263,"week_means"
"12",18943,18571,18936,18930,18936,10,7,1.49164757822372,1.51106280306749,1.48972012730551,1.51043375181173,2.00383422727372,"HLAGOO"
"13",18944,18572,18937,18931,18937,10,7,1.84188926562665,1.89425589669094,3.60239400634494,2.98986902032683,3.38599482973855,"Basic"
"14",18945,18573,18938,18932,18938,10,7,1.15413181156066,1.19998684962427,3.37463157939988,2.59616252031312,3.37794268893677,"Basic"
"15",18946,18574,18939,18933,18939,10,7,1.3622127450071,1.02783033162495,1.27827103144695,1.2242529187181,2.00441373682576,"HLAGC"
"16",18947,18575,18940,18934,18940,10,7,1.05385506937159,0.940593992250164,1.1012284748932,1.00448789954279,1.5682579964987,"HLAGC"
"17",18948,18576,18941,18935,18941,10,7,0.862315148393544,0.838685442119666,0.903043845728039,0.790332871572493,1.54629868099956,"HLAGELEM"
"18",18949,18577,18942,18936,18942,10,7,2.90455742927092,2.51427743420739,1.53209221103967,1.4632823151299,2.05567703435269,"HLAGELEM"
"19",18950,18578,18943,18937,18943,10,7,1.62151238124404,1.53512060285279,1.41161223801176,1.53124278798936,2.12466438396656,"HLAGOO"
"20",18951,18579,18944,18938,18944,10,7,1.55385379344636,1.73488041472347,3.3842946070001,2.72982648075683,3.25181429426707,"Basic"
"21",18952,18580,18945,18939,18945,10,7,1.14716594649588,1.26027313043606,2.98378950111726,2.29443576038171,3.12465492583389,"Basic"
"22",18953,18581,18946,18940,18946,10,7,1.22784202711398,1.15032150519111,1.44054788710905,1.27802078145014,2.30388472121723,"HLAGC"
"23",18954,18582,18947,18941,18947,10,7,0.705449477733046,0.561102116757496,0.892285304219452,0.76145593766382,1.77450326604735,"HLAGC"
"24",18955,18583,18948,18942,18948,10,7,1.21709699206059,1.17537705238602,1.34878140959515,1.27099689838637,2.02184879617155,"HLAGC"
"25",18956,18584,18949,18943,18949,10,7,2.89872742423985,3.03185413303442,2.96003009760584,2.97593345781105,2.67631271334878,"week_means"
"26",18957,18585,18950,18944,18950,10,7,1.59356923368134,1.59864714851014,1.70902868812296,1.61748875533826,1.76604706875563,"Basic"
"27",18958,18586,18951,18945,18951,10,7,2.98311183514955,2.94876098676908,2.49456802519393,2.5923368040131,2.72565611653645,"HLAGOO"
"28",18959,18587,18952,18946,18952,10,7,3.00987632203133,2.85778567502699,2.34685028186462,2.49946100883414,2.67548183840616,"HLAGOO"
"29",18960,18588,18953,18947,18953,10,7,0.936502404601215,0.82431709528466,1.03272326897019,1.00883521141802,1.5564331900684,"HLAGC"
"30",18961,18589,18954,18948,18954,10,7,0.832608171143993,0.756244569068811,1.04867725110174,0.923884332536071,1.60579945436971,"HLAGC"
