"","prediction_date","actual_start","actual_end","week_start","week_end","lag","period","rmse_pred_Basic","rmse_pred_HLAGC","rmse_pred_HLAGOO","rmse_pred_HLAGELEM","rmse_pred_week_means","best_method"
"2",18938,18566,18931,"2021-10-25","2021-10-31",5,7,2.3203460398351,2.23032464266935,3.59693680405953,2.90261529832603,3.30461383456437,"HLAGC"
"3",18939,18567,18932,"2021-10-26","2021-11-01",5,7,1.65511779627879,1.35213643162763,1.52282276315622,1.50115741513629,2.13723551672328,"HLAGC"
"4",18940,18568,18933,"2021-10-27","2021-11-02",5,7,1.33855149678473,1.21460797894308,0.954695825755502,1.22879257313115,1.59199990510958,"HLAGOO"
"5",18941,18569,18934,"2021-10-28","2021-11-03",5,7,1.14190924263379,1.12675820543422,1.24388580356198,1.15178345055883,1.85537374178488,"HLAGC"
"6",18942,18570,18935,"2021-10-29","2021-11-04",5,7,3.35678964645683,3.42421478325397,3.52865298395436,3.52179355924709,2.92593549289263,"week_means"
"7",18943,18571,18936,"2021-10-30","2021-11-05",5,7,1.47691852641061,1.50260050389083,1.49217570784617,1.5019824538272,2.00383422727372,"Basic"
"8",18944,18572,18937,"2021-10-31","2021-11-06",5,7,2.88988823679856,2.57336169814329,3.85353144321488,3.42750747895062,3.38599482973855,"HLAGC"
"9",18945,18573,18938,"2021-11-01","2021-11-07",5,7,2.42983389522118,2.21144711338201,3.80534517706594,3.28267252080456,3.37794268893677,"HLAGC"
"10",18946,18574,18939,"2021-11-02","2021-11-08",5,7,1.20238352260292,1.09541024686521,1.26156868654083,1.26069803815019,2.00441373682576,"HLAGC"
"11",18947,18575,18940,"2021-11-03","2021-11-09",5,7,1.00856495544172,1.03992247782722,1.10464539206204,1.13479854676938,1.5682579964987,"Basic"
"12",18948,18576,18941,"2021-11-04","2021-11-10",5,7,0.948079192040359,0.908499866344161,0.921181844474503,0.850124414152315,1.54629868099956,"HLAGELEM"
"13",18949,18577,18942,"2021-11-05","2021-11-11",5,7,1.54231680600681,1.57897917661343,1.37074419805116,1.28742748990974,2.05567703435269,"HLAGELEM"
