"","prediction_date","actual_start","actual_end","week_start","week_end","lag","period","rmse_pred_Basic","rmse_pred_HLAGC","rmse_pred_HLAGOO","rmse_pred_HLAGELEM","rmse_pred_week_means","best_method"
"1",18932,18560,18925,18919,18925,20,7,2.09278667012106,1.75598775939881,1.26862664183958,1.59023049045187,1.94678504600192,"HLAGOO"
"2",18933,18561,18926,18920,18926,20,7,1.23386066794681,1.3363209485369,1.30547716672444,1.13316564678144,1.62139851713868,"HLAGELEM"
"3",18934,18562,18927,18921,18927,20,7,0.999144931321554,0.820401951982331,0.895491264565093,0.77275957228052,1.5825895228863,"HLAGELEM"
"4",18935,18563,18928,18922,18928,20,7,1.4350012683236,1.41766752575502,1.32534195675715,1.48470184872753,1.77835917885036,"HLAGOO"
"5",18936,18564,18929,18923,18929,20,7,1.18754797481869,1.14272275131702,1.11064320094931,1.04441644782017,1.81507777354118,"HLAGELEM"
"6",18937,18565,18930,18924,18930,20,7,2.30007683977963,1.88180390742244,3.46831133211292,2.88549812124999,3.29491809121458,"HLAGC"
"7",18938,18566,18931,18925,18931,20,7,1.9644397738606,1.57314874866518,3.30491785109739,2.56254527251255,3.30461383456437,"HLAGC"
